ammonia_ammonia-mon1	0.09700	0.09636	0.08492	0.08428	0.01085	0.01073
ammonia_methane-mon1	0.09700	0.09636	0.08492	0.08428	0.01085	0.01073
borane_methane-mon1	0.08775	0.08687	0.07765	0.07671	0.01700	0.01853
ethene_ammonia-mon1	0.10912	0.10845	0.09742	0.09658	0.00815	0.00802
ethene_Ar-mon1	0.10912	0.10845	0.09742	0.09658	0.00815	0.00802
ethene_ethyne-mon1	0.10912	0.10845	0.09742	0.09658	0.00815	0.00802
ethene_formaldehyde-mon1	0.10912	0.10845	0.09742	0.09658	0.00815	0.00802
ethene_wat-mon1	0.10912	0.10845	0.09742	0.09658	0.00815	0.00802
formaldehyde_formaldehyde-mon1	0.12261	0.12119	0.11135	0.11007	0.02022	0.01939
HCN_HCN-mon1	0.13331	0.13309	0.12055	0.12023	0.02680	0.02751
HF_HF-mon1	0.16836	0.16809	0.15361	0.15381	0.05735	0.05802
methane_Ar-mon1	0.07140	0.07069	0.05984	0.05916	0.03538	0.03571
methane_ethene-mon1	0.07140	0.07069	0.05984	0.05916	0.03538	0.03571
methane_HF-mon1	0.07140	0.07069	0.05984	0.05916	0.03538	0.03571
methane_methane-mon1	0.07140	0.07069	0.05984	0.05916	0.03538	0.03571
methane_water-mon1	0.07140	0.07069	0.05984	0.05916	0.03538	0.03571
water_ammonia-mon1	0.14344	0.14267	0.13061	0.12997	0.03409	0.03386
water_water-mon1	0.14344	0.14267	0.13061	0.12997	0.03409	0.03386
ammonia_ammonia-mon2	0.09700	0.09636	0.08492	0.08428	0.01085	0.01073
ammonia_methane-mon2	0.07140	0.07069	0.05984	0.05916	0.03538	0.03571
borane_methane-mon2	0.07140	0.07069	0.05984	0.05916	0.03538	0.03571
ethene_ammonia-mon2	0.09700	0.09636	0.08492	0.08428	0.01085	0.01073
ethene_Ar-mon2	0.15347	0.15330	0.13825	0.13858	0.04322	0.04416
ethene_ethyne-mon2	0.12294	0.12235	0.11060	0.11012	0.01986	0.02011
ethene_formaldehyde-mon2	0.12261	0.12119	0.11135	0.11007	0.02022	0.01939
ethene_wat-mon2	0.14344	0.14267	0.13061	0.12997	0.03409	0.03386
formaldehyde_formaldehyde-mon2	0.12261	0.12119	0.11135	0.11007	0.02022	0.01939
HCN_HCN-mon2	0.13331	0.13309	0.12055	0.12023	0.02680	0.02751
HF_HF-mon2	0.16836	0.16809	0.15361	0.15381	0.05735	0.05802
methane_Ar-mon2	0.15347	0.15330	0.13825	0.13858	0.04322	0.04416
methane_ethene-mon2	0.10912	0.10845	0.09742	0.09658	0.00815	0.00802
methane_HF-mon2	0.16836	0.16809	0.15361	0.15381	0.05735	0.05802
methane_methane-mon2	0.07140	0.07069	0.05984	0.05916	0.03538	0.03571
methane_water-mon2	0.14344	0.14267	0.13061	0.12997	0.03409	0.03386
water_ammonia-mon2	0.09700	0.09636	0.08492	0.08428	0.01085	0.01073
water_water-mon2	0.14344	0.14267	0.13061	0.12997	0.03409	0.03386
